2017 Data:
StockholdersEquity: 19285000000
StockholdersEquity: 27709000000
StockIssuedDuringPeriodValueAcquisitions: 5000000
StockIssuedDuringPeriodValueEmployeeBenefitPlan: 2131000000
StockIssuedDuringPeriodValueEmployeeBenefitPlan: 2962000000
StockIssuedDuringPeriodValueEmployeeBenefitPlan: 4202000000
StockIssuedDuringPeriodValueStockOptionsExercised: 4000000
StockIssuedDuringPeriodValueStockOptionsExercised: 1000000
StockIssuedDuringPeriodValueStockOptionsExercised: 1000000
TaxCreditCarryforwardAmount: 1100000000
TranslationAdjustmentFunctionalToReportingCurrencyIncreaseDecreaseGrossOfTax: -215000000
TranslationAdjustmentFunctionalToReportingCurrencyIncreaseDecreaseGrossOfTax: 62000000
TranslationAdjustmentFunctionalToReportingCurrencyIncreaseDecreaseGrossOfTax: 202000000
TreasuryStockValue: 1837000000
TreasuryStockValue: 1837000000
UnrecognizedTaxBenefits: 710000000
UnrecognizedTaxBenefits: 1181000000
UnrecognizedTaxBenefits: 1710000000
UnrecognizedTaxBenefits: 2309000000
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions: 22000000
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions: 133000000
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions: 139000000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued: 67000000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued: 107000000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense: 18000000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense: 9000000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense: 40000000
